Year,response,lower,upper,Region,period,pre_post
2020,0.1804458310396198,0.15459528309396844,0.20720608918383498,Central GBR,16 to 20,post_2010
2021,0.26294936766505483,0.23612459806294134,0.2912722309212537,Central GBR,21 to 23,post_2010
2022,0.32613126277328364,0.28772901019055525,0.36539813418717754,Central GBR,21 to 23,post_2010
2023,0.30769273041497597,0.27597826229820355,0.34219606184263995,Central GBR,21 to 23,post_2010
1986,0.3650980804495057,0.3262165149758248,0.40477534573365853,Southern GBR,86 to 90,pre_2010
1987,0.3954237645337274,0.3434670843382971,0.44420483382218545,Southern GBR,86 to 90,pre_2010
1988,0.41766465794831864,0.3685288853483101,0.4625503606980095,Southern GBR,86 to 90,pre_2010
1989,0.32402578302462176,0.2447899517337941,0.3976353283698774,Southern GBR,86 to 90,pre_2010
1990,0.2891412650594518,0.24865574690728443,0.3366587020322508,Southern GBR,86 to 90,pre_2010
1991,0.3304230510194218,0.2746174169896248,0.382011871,Southern GBR,91 to 95,pre_2010
1992,0.4049214794372376,0.3504441272739159,0.4577195951396797,Southern GBR,91 to 95,pre_2010
1993,0.3254338885986316,0.2663800330827455,0.39757122182101873,Southern GBR,91 to 95,pre_2010
1994,0.30144256923030954,0.24052862975771952,0.36135240821045084,Southern GBR,91 to 95,pre_2010
1995,0.2862796597630394,0.2295816199907027,0.34391558860655363,Southern GBR,91 to 95,pre_2010
1996,0.3299626595531705,0.275217605,0.3905397948563661,Southern GBR,96 to 00,pre_2010
1997,0.28409363710019286,0.22179377691478783,0.3469340137672774,Southern GBR,96 to 00,pre_2010
1998,0.32385382006352303,0.2598245213851831,0.39022563216042633,Southern GBR,96 to 00,pre_2010
1999,0.32873222397224133,0.26451393560864406,0.39608855119865377,Southern GBR,96 to 00,pre_2010
2000,0.3455284012609474,0.27545373170244875,0.4119904929172131,Southern GBR,96 to 00,pre_2010
2001,0.24832690520845108,0.19684116842093743,0.29606821175204673,Southern GBR,01 to 05,pre_2010
2002,0.30290887583367965,0.24333566045966765,0.365440384,Southern GBR,01 to 05,pre_2010
2003,0.2710007028426812,0.21310377696394456,0.3363663720771945,Southern GBR,01 to 05,pre_2010
2004,0.24925473145156712,0.19301840145861623,0.30540567108097716,Southern GBR,01 to 05,pre_2010
2005,0.26351377990793245,0.2165820012161337,0.31332632032474667,Southern GBR,01 to 05,pre_2010
2006,0.2876495126311297,0.24889880352048724,0.33153484128867583,Southern GBR,06 to 10,pre_2010
2007,0.2644199203529962,0.20832697260754643,0.334853191,Southern GBR,06 to 10,pre_2010
2008,0.26552653338748655,0.22240269003410582,0.31063367029612526,Southern GBR,06 to 10,pre_2010
2009,0.18766551171520246,0.14479386359821012,0.2360166802435488,Southern GBR,06 to 10,pre_2010
2010,0.13993817464963904,0.11505382344099192,0.16707215560192948,Southern GBR,06 to 10,pre_2010
2011,0.11679408955041246,0.085031018,0.15288353574426236,Southern GBR,11 to 15,post_2010
2012,0.1618586756909755,0.12893191323639394,0.19491597800574254,Southern GBR,11 to 15,post_2010
2013,0.16960025874435375,0.12683608065053822,0.21504440885544854,Southern GBR,11 to 15,post_2010
2014,0.21028578476044676,0.17208129632425712,0.24629042664875667,Southern GBR,11 to 15,post_2010
2015,0.2834236007908705,0.2160247740115053,0.34733910836658616,Southern GBR,11 to 15,post_2010
2016,0.284682562,0.23532219725539935,0.33454102359119864,Southern GBR,16 to 20,post_2010
2017,0.3681755326343499,0.3028219171109258,0.4400206383877313,Southern GBR,16 to 20,post_2010
2018,0.2880825490411565,0.24198815928611495,0.34195240424248763,Southern GBR,16 to 20,post_2010
2019,0.290478536,0.23045124209898785,0.3678234641587152,Southern GBR,16 to 20,post_2010
2020,0.2966927354423873,0.24748444007180023,0.347831261,Southern GBR,16 to 20,post_2010
2021,0.37790814442477544,0.3176909125493583,0.44241736829079253,Southern GBR,21 to 23,post_2010
2022,0.33866492398273484,0.28569369949159606,0.39286882015952196,Southern GBR,21 to 23,post_2010
2023,0.3379978773913618,0.29031630891170723,0.38857762898434534,Southern GBR,21 to 23,post_2010
