# reef_id, area_km2, sand_propotion, shelf_position

# reef_id
# The reef IDs here are the standard used throughout the RME and
# must be the same as in all the other data files used.
# If reef IDs do not match up across files the RME will not run.
# The order here is also important since this must match the
# connectivity matrix files that do not have reef IDs embedded.
# Note that some alternate lists of reef IDs are circulating
# that have five reefs renamed as follows:
# used in RME   alternate
# 10-441        11-325
# 11-288        11-244e
# 11-303        11-244f
# 11-310        11-244g
# 11-311        11-244h
# These are just renamings as can be seen on a map of GBR.
# 10-441 is between two groups with IDs 10-44x and 11-32x,
# alternate ID 11-325 just makes it part of the other group.
# Alternate IDs 11-244e,f,g,h brings four unnamed reefs into
# "Great Detatched Reef" group which they are clearly part of.
# The alternate IDs are likely a newer revision, but currently
# the RME uses the orignal (legacy) reef IDs.
# Additionally a error has been propagated through many files
# where the reef id listed here as "20-198" is listed as "20198".
# Note the RME is case-insensitive to letters in the reef IDs.
# They can be upper or lower case when specified, when reported
# they are upper-case.

# area_km2
# The area of the reef in square kilometres.

# sand_proportion
# Proportion of reef which is non-grazable (sand)
# as a proportion (range 0 to 1).

# shelf_position
# The location of the reef on the continental shelf:
# 1 = inshore
# 2 = midshelf
# 3 = offshore

# This file was updated on Thu 30 Mar 12:07:21 BST 2023

11-019,0.513836582,0.221946631,2
11-020,0.054653014,0.237745433,2
11-021,0.098098509,0.237745432,2
11-022,0.222968558,0.228214562,2
11-023,1.11705897,0.226585542,2
11-024,0.089099799,0.228214562,2
11-025,14.90454033,0.244203922,1
11-026,6.442447316,0.243967385,1
11-027,0.000847784,0.23774867,1
11-028,0.394315006,0.221028361,2
11-029,5.92541281,0.235683023,2
11-030,2.906576821,0.22685422,2
11-031,0.153146867,0.202332932,2
11-032,0.067447559,0.228214562,2
11-033a,0.271328613,0.223257529,2
11-033b,0.781783302,0.231158658,2
11-048b,3.406208043,0.223165114,2
11-049,6.065769891,0.238388864,2
11-050,6.902627007,0.24919308,1
11-051,0.030693356,0.237745433,1
11-052,8.496354198,0.245007603,1
11-053,3.537482633,0.245468564,1
11-054,5.683697801,0.247062913,1
11-055,7.409044794,0.2441437,1
11-035,10.78204314,0.244782653,1
11-036,5.992333223,0.207308189,2
11-037,4.309867743,0.226912515,2
11-038,5.432847762,0.244776317,1
11-039,3.79067657,0.215305254,2
11-040,3.588029837,0.216750861,2
11-041a,0.050473439,0.237745433,1
11-041b,0.085609718,0.237745433,1
11-042,6.50768361,0.2202263,2
11-043,0.069512936,0.237745432,2
11-044,8.769251583,0.229298847,2
11-045,1.707525811,0.221035578,2
11-046,1.158440762,0.24861401,1
11-047,4.656653617,0.249426177,1
11-048a,9.722709458,0.245025762,2
11-071,2.568156102,0.222562562,2
11-072,1.158899165,0.28780974,3
11-073,1.57859329,0.293853711,3
11-074,2.585255801,0.288346761,3
11-075,1.436171046,0.28406191,3
11-076,1.068702926,0.290350753,3
11-056a,8.582444201,0.241670217,2
11-056b,7.518765355,0.227954764,2
11-056c,4.307445628,0.226714055,2
11-056d,1.121783614,0.228089086,2
11-057,3.935064477,0.216643765,2
11-058,3.31255482,0.244502655,1
11-059,4.071048929,0.245062682,1
11-060,3.456924661,0.243906468,1
11-061,4.572953092,0.243906468,1
11-062,4.158127085,0.244598242,1
11-063a,0.105441225,0.224063002,2
11-063b,0.245981868,0.228214562,2
11-064,1.933210879,0.228214562,2
11-065,0.090097597,0.228214562,2
11-066,0.236205356,0.228214562,2
11-067,0.310549821,0.228214562,2
11-068,0.123998902,0.228214562,2
11-069,0.374430004,0.228214562,2
11-070a,3.296291701,0.253247698,2
11-070b,1.553297062,0.228214562,2
11-070c,0.008719484,0.237745429,2
11-103,3.043789339,0.217621583,2
11-104,0.564095736,0.228214562,2
11-105,2.163925302,0.302112097,2
11-107,1.762326754,0.293279248,3
11-108,0.868244353,0.298796798,2
11-109a,6.434570943,0.302469809,2
11-109b,3.681428172,0.289704749,2
11-110,3.521299532,0.319466874,2
11-111,5.675690884,0.228214562,2
11-112,2.957344644,0.299455944,3
11-113,4.66310163,0.308078828,3
11-114,2.209597732,0.299843873,3
11-115,8.534906479,0.317276421,3
11-116,2.984310228,0.292333498,3
11-117,10.43269316,0.292321666,3
11-118a,3.273260803,0.342535327,3
11-118b,0.162200862,0.299719347,3
11-119,11.83162424,0.307515549,3
11-077,5.451285876,0.296553588,3
11-078,0.429320987,0.29633102,3
11-079,0.188438632,0.23225842,2
11-080,0.005354289,0.228214562,2
11-081,3.190955509,0.308649934,3
11-082,1.79404623,0.286585292,3
11-083,0.316465897,0.285931332,3
11-084,2.280173319,0.298846885,3
11-085,0.699143999,0.276951596,3
11-087a,1.711925385,0.32998772,3
11-087b,2.72301424,0.310058343,3
11-088,2.151897525,0.291054873,3
11-089a,0.977784179,0.290413535,3
11-089b,2.914515049,0.2812727,3
11-090,0.184587156,0.228214562,2
11-091,1.708211634,0.287932581,3
11-092,2.219588557,0.262899917,2
11-093,2.417476763,0.260707072,2
11-094,0.922016888,0.30925019,3
11-095,0.565511719,0.278968821,3
